Customer ID;Edad;Genero;Descripcion;Categoria;Fecha Compra;Unidades;PVP;Localizacion;Tamaño;Color;Temporada;Forma Envio;Metodo Pago;Frecuencia Compra
1;55;Male;Blouse;Clothing;01/01/2024;14;53;Kentucky;L;Gray;Winter;Express;Venmo;Fortnightly
2;19;Male;Sweater;Clothing;03/01/2024;2;64;Maine;L;Maroon;Winter;Express;Cash;Fortnightly
3;50;Male;Jeans;Clothing;05/01/2024;23;73;Massachusetts;S;Maroon;Spring;Free Shipping;Credit Card;Weekly
4;21;;Sandals;Footwear;07/01/2024;49;90;Rhode Island;M;Maroon;Spring;Next Day Air;PayPal;Weekly
5;45;Male;Blouse;Clothing;09/01/2024;31;49;Oregon;M;Turquoise;Spring;Free Shipping;PayPal;Annually
6;46;Male;Sneakers;Footwear;11/01/2024;14;20;Wyoming;M;White;Summer;Standard;Venmo;Weekly
7;63;Male;Shirt;Clothing;13/01/2024;49;85;Montana;M;Gray;Fall;Free Shipping;Cash;Quarterly
8;27;Male;Shorts;Clothing;15/01/2024;19;34;Louisiana;L;Charcoal;Winter;Free Shipping;Credit Card;Weekly
9;26;Male;Coat;Outerwear;17/01/2024;8;97;West Virginia;L;Silver;Summer;Express;Venmo;Annually
10;57;Male;Handbag;Accessories;19/01/2024;4;31;Missouri;M;Pink;Spring;2-Day Shipping;Cash;Quarterly
11;53;;Shoes;Footwear;21/01/2024;26;34;Arkansas;L;Purple;Fall;Store Pickup;Bank Transfer;Bi-Weekly
12;30;Male;Shorts;Clothing;23/01/2024;10;68;Hawaii;S;Olive;Winter;Store Pickup;Bank Transfer;Fortnightly
13;61;Male;Coat;Outerwear;25/01/2024;37;72;Delaware;M;Gold;Winter;Express;Venmo;Fortnightly
14;65;Male;Dress;Clothing;27/01/2024;31;51;New Hampshire;M;Violet;Spring;Express;PayPal;Weekly
15;64;Male;Coat;Outerwear;29/01/2024;34;53;New York;L;Teal;Winter;Free Shipping;Debit Card;Weekly
16;64;Male;Skirt;Clothing;31/01/2024;8;81;Rhode Island;M;Teal;Winter;Store Pickup;PayPal;Monthly
17;25;Male;Sunglasses;Accessories;02/02/2024;44;36;Alabama;S;Gray;Spring;Next Day Air;Debit Card;Bi-Weekly
2;53;Male;Dress;Clothing;04/02/2024;36;38;Mississippi;XL;Lavender;Winter;2-Day Shipping;Venmo;Quarterly
19;52;Male;Sweater;Clothing;06/02/2024;17;48;Montana;S;Black;Summer;Free Shipping;Cash;Weekly
20;66;Male;Pants;Clothing;08/02/2024;46;90;Rhode Island;M;Green;Summer;Standard;Debit Card;Bi-Weekly
